Method,Mean Shots / Ratio,Accuracy,False Positive Rate,False Negative Rate,Unresolved Rate,Resolved Coverage,Resolved Accuracy
Fixed-32,64.0,0.7496491228070176,0.1583771929824561,0.0919736842105263,0.0,1.0,0.7496491228070176
Fixed-64,128.0,0.7882894736842105,0.1260526315789473,0.0856578947368421,0.0,1.0,0.7882894736842105
Fixed-128,256.0,0.8149561403508772,0.1085964912280701,0.0764473684210526,0.0,1.0,0.8149561403508772
Fixed-256,512.0,0.8442543859649123,0.0914035087719298,0.0643421052631579,0.0,1.0,0.8442543859649123
Fixed-512,1024.0,0.8599561403508772,0.0835526315789473,0.0564912280701754,0.0,1.0,0.8599561403508772
Fixed-1024,2048.0,0.8860964912280702,0.0695175438596491,0.0443859649122807,0.0,1.0,0.8860964912280702
QTrust,4295.435789473684,0.5981140350877193,0.0,0.0,0.4018859649122807,0.5981140350877193,1.0
