Environment,Method,N Seeds,Mean Reward,SD Reward,95% t-CI Low,95% t-CI High
Acrobot,Classical,10,-404.91666666666663,157.58910099713881,-517.6491183734639,-292.1842149598694
Acrobot,Fixed-128,10,-500.0,0.0,-500.0,-500.0
Acrobot,Fixed-256,10,-500.0,0.0,-500.0,-500.0
Acrobot,QTrust,10,-500.0,0.0,-500.0,-500.0
CartPole,Classical,10,47.16666666666667,25.828264735735914,28.69023911826288,65.64309421507046
CartPole,Fixed-128,10,16.876666666666665,2.2283831264001015,15.282577408008464,18.470755925324866
CartPole,Fixed-256,10,15.976666666666665,2.9502897953494682,13.866156486896497,18.087176846436833
CartPole,QTrust,10,17.236666666666665,2.8161110563117853,15.22214217450391,19.25119115882942
LunarLander,Classical,10,-855.6671414104836,143.17889539049384,-958.0911530198555,-753.2431298011118
LunarLander,Fixed-128,10,-394.4871573834947,38.95111371212891,-422.3511055734033,-366.62320919358615
LunarLander,Fixed-256,10,-415.75926494922,52.759840379627754,-453.5013811236292,-378.0171487748108
LunarLander,QTrust,10,-384.2977448977939,43.90588806455811,-415.70612513832657,-352.88936465726124
