environment,method,Seeds,Mean_Training_Runtime_s,SD_Training_Runtime_s,Mean_Evaluation_Runtime_s,Mean_Wall_Runtime_s
Acrobot-v1,Classical-PPO,10,3.8522772357006034,0.0671626684144661,2.659702180999011,6.516256501200405
Acrobot-v1,Fixed-QPPO-128,10,936.1210759747003,7.029042844464309,95.64664253809988,1031.7921242196999
Acrobot-v1,Fixed-QPPO-256,10,936.1056219619002,14.898889503739616,95.66191019069956,1031.7918290167001
Acrobot-v1,QTrust-PPO-128,10,1008.797754964,9.08168168529409,95.22424079910002,1104.0513530825
CartPole-v1,Classical-PPO,10,1.6867470265999145,0.0123682677302496,0.1849025933013763,1.8754959419005899
CartPole-v1,Fixed-QPPO-128,10,464.6710084448001,4.329564031049627,3.2231508485027005,467.9180138681004
CartPole-v1,Fixed-QPPO-256,10,466.3854431079009,4.088934712280893,3.000499708400457,469.4095753548987
CartPole-v1,QTrust-PPO-128,10,494.9316411937998,5.741741547652795,3.188967661500283,498.14719553090106
LunarLander-v3,Classical-PPO,10,3.692692675399303,0.056276524711003625,0.6963043711999489,4.394755352699576
LunarLander-v3,Fixed-QPPO-128,10,930.7351305432996,7.997868904829234,18.30892454479981,949.0698614796995
LunarLander-v3,Fixed-QPPO-256,10,919.2221033945,7.103394487492688,18.47541844599982,937.7239315383006
LunarLander-v3,QTrust-PPO-128,10,1014.0801055001,6.422074017394473,18.3683722587999,1032.5458553611002
