variant,layers,quantum_parameters,Mean_Reward,SD_Reward,Mean_Unresolved,Mean_Training_Shots,Accepted_Updates,Rolled_Back_Updates,Mean_Runtime_s,Target,Mean Difference,Holm P
D_Layers_1,1,8,17.93,3.532789965207612,9.765625e-05,8221126.4,638,2,188.43318553240002,D_Layers_1,0.6933333333333327,0.76953125
D_Layers_4,4,32,15.776666666666666,2.7598107825638256,0.002001953125,20764460.8,604,36,1742.5103205458,D_Layers_4,-1.4599999999999995,0.64453125
