Environment,Reference,Mean Difference,Bootstrap CI Low,Bootstrap CI High,Raw P,Holm P,Paired Rank-Biserial
CartPole,Classical,-29.93,-47.08333333333333,-15.659999999999997,0.001953125,0.005859375,-1.0
CartPole,Fixed-128,0.35999999999999943,-0.6100833333333334,1.2933333333333328,0.431640625,0.431640625,0.3090909090909091
CartPole,Fixed-256,1.2599999999999996,0.4099999999999991,2.1099999999999994,0.037109375,0.07421875,0.7454545454545455
Acrobot,Classical,-95.08333333333333,-191.89666666666668,0.0,0.25,0.75,-1.0
Acrobot,Fixed-128,0.0,0.0,0.0,1.0,1.0,0.0
Acrobot,Fixed-256,0.0,0.0,0.0,1.0,1.0,0.0
LunarLander,Classical,471.3693965126896,383.12349881297337,567.4357879283796,0.001953125,0.005859375,1.0
LunarLander,Fixed-128,10.18941248570078,0.015192860804397487,22.146687657926353,0.16015625,0.16015625,0.5272727272727272
LunarLander,Fixed-256,31.461520051425993,13.514396178569399,50.3378646917995,0.02734375,0.0546875,0.7818181818181819
