variant,layers,quantum_parameters,Seeds,Mean_Reward,SD_Reward,Mean_Unresolved,Mean_Adaptive_Shots,Mean_Training_Shots,Accepted_Updates,Rolled_Back_Updates,Mean_Wall_Runtime_s
D_Layers_1,1,8,10,17.93,3.532789965207612,9.765625e-05,2735.921875,8221126.4,638,2,188.43318553240002
D_Layers_4,4,32,10,15.776666666666666,2.7598107825638256,0.002001953125,2724.696875,20764460.8,604,36,1742.5103205458004
