variant,method,N Seeds,Mean Reward,SD Reward,95% t-CI Low,95% t-CI High
C_Depolarizing_0005,Fixed-QPPO-128,10,16.576666666666664,3.1273406049324493,14.339501967550484,18.813831365782846
C_Depolarizing_0005,Fixed-QPPO-256,10,15.51,1.8771563731833096,14.167163224823295,16.852836775176705
C_Depolarizing_0005,QTrust-PPO-128,10,16.96333333333333,3.0976873093756025,14.747381323979054,19.179285342687606
C_Readout_002,Fixed-QPPO-128,10,17.346666666666664,2.415086328748652,15.61901798283829,19.074315350495038
C_Readout_002,Fixed-QPPO-256,10,15.790000000000001,2.0126176064095307,14.35026009614122,17.229739903858782
C_Readout_002,QTrust-PPO-128,10,16.673333333333336,2.229643164718361,15.07834269756236,18.268323969104312
