variant,N Seeds,Mean Reward,SD Reward,95% t-CI Low,95% t-CI High
B_Delta_001,10,17.01333333333333,1.7968559647408278,15.727940009889636,18.29872665677702
B_Delta_010,10,17.236666666666665,2.8161110563117853,15.22214217450391,19.25119115882942
B_NoRollback,10,17.269999999999996,2.78321467921849,15.279008158372926,19.260991841627064
