variant,layers,quantum_parameters,N Seeds,Mean Reward,SD Reward,95% t-CI Low,95% t-CI High
D_Layers_1,1,8,10,17.93,3.5327899652076113,15.402794300982428,20.45720569901757
A_Layers_3_Reference,3,24,10,17.236666666666665,2.8161110563117853,15.22214217450391,19.25119115882942
D_Layers_4,4,32,10,15.776666666666666,2.759810782563826,13.802416964138548,17.750916369194783
