Method,Reference,Paired Trial Paths,CP Coverage,Method Coverage,Coverage Difference,Coverage Bootstrap CI Low,Coverage Bootstrap CI High,Method Only Resolved,CP Only Resolved,Coverage McNemar Raw P,CP Resolved Accuracy,Method Resolved Accuracy,CP Mean Total Shots,Method Mean Total Shots,Mean Shot Difference,Shot Bootstrap CI Low,Shot Bootstrap CI High,Shot Wilcoxon Statistic,Shot Wilcoxon Raw P,Shot Paired Rank-Biserial,Coverage Holm P,Shot Holm P,Coverage Holm Significant 0.05,Shot Holm Significant 0.05
Wilson,Clopper-Pearson,22800,0.5988157894736842,0.6001315789473685,0.0013157894736842105,0.0008771929824561404,0.0017982456140350877,30,0,1.862645149230957e-09,1.0,1.0,4297.703859649123,4273.181754385965,-24.522105263157894,-27.30666666666667,-21.934035087719298,0.0,2.5966115697688128e-151,-1.0,1.862645149230957e-09,2.5966115697688128e-151,True,True
Hoeffding,Clopper-Pearson,22800,0.5988157894736842,0.5635964912280702,-0.03521929824561403,-0.03763157894736842,-0.03285087719298246,0,803,3.7492420347390774e-242,1.0,1.0,4297.703859649123,4777.821754385965,480.1178947368421,466.58799999999997,493.8639298245614,0.0,0.0,1.0,7.498484069478155e-242,0.0,True,True
